,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2
0,TWICE  - KNOCK KNOCK.mp3,kpop,TWICE ,KNOCK KNOCK,129.19921875,129.19921875,2.965916633605957,76.3522720336914,4.196761131286621,100.74449920654297,-71.4462661743164,175.7735595703125,-67.67757415771484,208.80514526367188,8.570591489842627e-06,0.0496283583343029,0.00011801392247434705,0.023770665749907494,-8.907515621103812e-06,0.07169373333454132,-0.0002773941378109157,0.030520709231495857
1,BIGBANG  - 맨정신.mp3,kpop,BIGBANG ,맨정신,129.19921875,129.19921875,3.2047557830810547,81.64508056640625,3.8261609077453613,92.78324127197266,-69.06773376464844,224.40975952148438,-66.3304443359375,241.05087280273438,3.7893645639996976e-05,0.05823435261845589,0.0009813668439164758,0.027520636096596718,8.681213512318209e-05,0.07205414772033691,0.0019052403513342142,0.026981962844729424
2,블랙핑크(BLACKPINK)  - 불장난.mp3,kpop,블랙핑크(BLACKPINK) ,불장난,95.703125,95.703125,2.233121633529663,47.61300277709961,2.7224338054656982,60.75043487548828,-71.97590637207031,180.6326141357422,-70.30126190185547,210.8838348388672,0.00017538410611450672,0.03691541403532028,0.0007882898207753897,0.014889073558151722,0.0003791118215303868,0.044571176171302795,0.0012654413003474474,0.021016430109739304
3,숀  - 습관.mp3,kpop,숀 ,습관,117.45383522727273,117.45383522727273,1.9893423318862915,48.7614631652832,2.856109380722046,74.33831787109375,-73.9561996459961,136.02532958984375,-71.3842544555664,188.04005432128906,-1.897739275591448e-05,0.029034344479441643,-4.32238812209107e-05,0.024958081543445587,-3.4829965898097726e-06,0.056254174560308456,0.0001314224791713059,0.023718267679214478
4, 마마무  - HIP.mp3,kpop, 마마무 ,HIP,135.99917763157896,135.99917763157896,2.4771060943603516,91.85880279541016,3.180642604827881,105.1902084350586,-73.89496612548828,151.90753173828125,-71.39163970947266,186.48301696777344,2.7288113415124826e-05,0.06447341293096542,-0.00018511456437408924,0.03208412602543831,-3.2166331038752105e-06,0.07178810238838196,-0.0006699814111925662,0.039410196244716644
5,BIGBANG  - 에라 모르겠다.mp3,kpop,BIGBANG ,에라 모르겠다,89.10290948275862,89.10290948275862,2.203908681869507,43.43220901489258,3.3945472240448,63.2017822265625,-74.20341491699219,130.9364013671875,-72.2890853881836,149.62403869628906,0.00186218973249197,0.02427065558731556,0.001336357556283474,0.02482185699045658,0.0008424140396527946,0.038428518921136856,0.0003724923590198159,0.0319785550236702
6,선미  - 주인공.mp3,kpop,선미 ,주인공,123.046875,123.046875,1.6019490957260132,35.565860748291016,3.016461133956909,59.85508346557617,-75.04159545898438,105.67255401611328,-71.33802032470703,154.83474731445312,2.884109562728554e-05,0.021390749141573906,0.000127301478642039,0.014376373961567879,2.448243867547717e-05,0.04797949641942978,1.814858819670917e-06,0.017850475385785103
7,마마무  -  Piano Man.mp3,kpop,마마무 , Piano Man,112.34714673913044,112.34714673913044,0.9831420183181763,18.428617477416992,2.989793300628662,59.33396911621094,-75.547607421875,109.82096862792969,-69.54692077636719,202.09432983398438,-0.00010563235264271498,0.015432248823344707,-0.000723956327419728,0.004500117152929306,4.223679206916131e-05,0.03608693554997444,0.0002048568712780252,0.025299593806266785
