,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2,mean_sc1,var_sc1,mean_sc2,var_sc2,mean_chroma1,var_chroma1,mean_chroma2,var_chroma2,mean_mfccs1,var_mfccs1,mean_mfccs2,var_mfccs2,zero_crossings_mean1,zero_crossings_var1,zero_crossings_mean2,zero_crossings_var2
0,Maroon 5  - Sugar (Official Music Video)-09R8_2nJtjg.mp3,pop,Maroon 5 ,Sugar ,0.7239187158466347,0.7035928556587647,0.2793587246232398,0.3095489828113067,0.28554458003565425,0.4616086430699478,0.0,0.5858037396996643,0.02217905738354553,1.0,0.2767517312958054,0.27676242909235915,0.2767497976256125,0.2767724758693299,0.2767499027111383,0.2768647886547181,0.2767496612631276,0.2768259983479497,0.2775952683185812,0.27682950066549417,0.2778439483511129,0.2768154216470932,0.2783586299848917,0.2770669755204456,0.2781337956755621,0.2770876701860049,0.2786674345352791,0.2768289633506477,0.27862586400879896,0.2768440852840917,0.2770421733739382,0.2770186500207113,0.2771222506953204,0.2770840777318112
1,Carly Rae Jepsen  - Call Me Maybe-fWNaR-rxAic.mp3,pop,Carly Rae Jepsen ,Call Me Maybe,0.8514156228514809,0.8514156228514809,0.3327477141285691,0.3707649867353653,0.3332482199592572,0.3751713587710398,0.0,0.950454139998032,0.003389609660345128,1.0,0.3287572660569488,0.3287824871294422,0.32875750620100924,0.32877481918207435,0.3287572901279873,0.3287836275341694,0.3287574404667192,0.3287789985435037,0.3303342691114658,0.3288771117814216,0.3303896540583364,0.3288966739948091,0.3304830595066514,0.3291738178791054,0.33061905330447305,0.32915137028033875,0.33101750599872404,0.32887482247484723,0.3308741743426093,0.3288761029547253,0.3292401068275419,0.32918771669471264,0.3293066872206008,0.3292388522986186
2,Sia  - Chandelier (Official Video)-2vjPBrBU-TM.mp3,pop,Sia ,Chandelier ,0.5962621091102221,0.4981887415903044,0.2337497087882243,0.3432900924856588,0.2381950220536183,0.4594042781757128,0.0,0.7521995148970828,0.019198882855249542,1.0,0.2284870129688485,0.22858943405156376,0.228487431499972,0.22850979630738716,0.2284869975552299,0.22870160546549495,0.2284869729403297,0.2285308799765133,0.22924332398104136,0.2285350113270445,0.229393700321818,0.22852684020675185,0.22951236384729676,0.2287822723843506,0.229638071918636,0.2287531599553421,0.2302034461843864,0.22859818598193546,0.2302283732793153,0.2285738279866188,0.2287845354568216,0.22875625945329264,0.22882040852802735,0.2287849036532539
3,Mark Ronson  - Uptown Funk (Official Video) ft. Bruno Mars-OPf0YbXqDm0.mp3,pop,Mark Ronson ,Uptown Funk ,0.8967855470389283,0.8967855470389283,0.35731088401612143,0.4460724241062045,0.361136336788178,0.4963943949919965,0.0,0.7937441210891099,0.014533321646545527,1.0,0.3511414428688426,0.3511708881272125,0.3511426060299038,0.35121654765628724,0.35114149070936,0.3512039393140073,0.3511429817376444,0.35123476402463105,0.3528842923221884,0.35124889496141604,0.3527931856612969,0.3512289935370773,0.3532643530766178,0.3515943328285336,0.35339454780956553,0.3515491945586384,0.3535353689801982,0.35125684081477504,0.35354721889878704,0.35124730411548494,0.3518551301554289,0.3517455015673052,0.3518655099036108,0.3517526691011722
4,Ed Sheeran  - Shape of You (Official Music Video)-JGwWNGJdvx8.mp3,pop,Ed Sheeran ,Shape of You ,0.7276840939092635,0.7276840939092635,0.2690090713649693,0.4335960249217325,0.2715104791047297,0.5054650570923488,0.0,0.9326377396715432,0.005177821406846361,1.0,0.2626587378705955,0.2627901907641025,0.2626570331133789,0.2627131800027033,0.2626585543789911,0.26282851829586623,0.26265775202358443,0.26274351923578176,0.2636296289596313,0.26274051784165026,0.2635154625599646,0.2627380458691054,0.26386525514664017,0.2630095862384968,0.2638462602795913,0.26298592675213184,0.2645213278572097,0.2627621012516801,0.2645750551840577,0.2627451820710396,0.2629493097467636,0.26292587077878843,0.26295376328793585,0.2629296000287443
5,Wiz Khalifa  - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack-RgKAFK5djSk.mp3,pop,Wiz Khalifa ,See You Again ft. Charlie Puth ,1.0,1.0,0.32466068428782485,0.4799419282651407,0.32681382148438803,0.5318771357171228,0.0,0.7815390777865168,0.004781723863178489,0.8532141101070827,0.3194961074591102,0.3196486419993851,0.3194962452824692,0.3195281650539888,0.3194960908975855,0.3197076994809924,0.3194957623221485,0.3195319451837909,0.3204083033367037,0.3196159138322233,0.3208150572887965,0.3196060224380583,0.32083664756767555,0.3199419295899805,0.3209738391881659,0.3199215055203853,0.3216865103308472,0.3196133140627032,0.3216776614055231,0.3196102971481581,0.3197674711555543,0.31974997715510595,0.3197808829287168,0.3197616178950056
6,The Wanted  - Glad You.mp3,pop,The Wanted ,Glad You,0.7025319619856433,0.7025319619856433,0.2571228593082901,0.2638294590678237,0.2588816386387053,0.2817409472589372,0.0,0.7584885487284518,0.01544814230503111,1.0,0.25529803071663026,0.2553047592197876,0.2552979794448335,0.2553002834924729,0.2552980528584595,0.2553176066337901,0.2552980773342405,0.2553060965611421,0.25667725985563444,0.2553944163372415,0.2565327571289785,0.2553682405288035,0.2564420527943512,0.2556050489328669,0.25674045731607553,0.2555968209165061,0.2571076142572668,0.25539242607698115,0.2573085797572475,0.2553837007880105,0.2557146283953785,0.2556644891615037,0.255679695963674,0.2556376125498903
7,Cheryl Cole  - Fight For This Love (Official Video)-4umc87T5UMs.mp3,pop,Cheryl Cole ,Fight For This Love ,0.9288207051692344,0.9288207051692344,0.35618495694184965,0.36383341831009536,0.35707527581296805,0.3689535819777094,0.0,0.7917482184555162,0.01139605303362673,1.0,0.3539242512704296,0.3539294567087543,0.35392441273106273,0.3539297147904224,0.3539242193864716,0.3539346742938696,0.3539243202741563,0.3539298688281232,0.3555127716420285,0.3540800528526529,0.3555844278124347,0.35401277099168466,0.3557763379947931,0.3543563235795178,0.3556358275806409,0.3543370474884385,0.35628421312011505,0.35405294789684005,0.35625394296133794,0.3540332670128956,0.3544902534387853,0.3544216882272436,0.3545111351973238,0.3544374173684577
