,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2
0,Maroon 5  - Sugar (Official Music Video)-09R8_2nJtjg.mp3,pop,Maroon 5 ,Sugar ,123.046875,117.45383522727273,0.717896580696106,9.025309562683105,2.4200501441955566,50.86736297607422,-76.15287017822266,85.04196166992188,-70.04988861083984,199.0157928466797
1,Carly Rae Jepsen  - Call Me Maybe-fWNaR-rxAic.mp3,pop,Carly Rae Jepsen ,Call Me Maybe,117.45383522727273,117.45383522727273,0.8967481851577759,9.440138816833496,1.0092238187789917,10.4303560256958,-73.87962341308594,139.7101593017578,-73.1178970336914,150.84429931640625
2,Sia  - Chandelier (Official Video)-2vjPBrBU-TM.mp3,pop,Sia ,Chandelier ,117.45383522727273,86.1328125,1.6807215213775635,36.66388702392578,3.100390911102295,73.7464828491211,-72.97032928466797,167.25450134277344,-66.83891296386719,246.39285278320312
3,Mark Ronson  - Uptown Funk (Official Video) ft. Bruno Mars-OPf0YbXqDm0.mp3,pop,Mark Ronson ,Uptown Funk ,117.45383522727273,117.45383522727273,1.3280080556869507,20.434572219848633,2.1514644622802734,31.266740798950195,-75.58574676513672,95.27342224121094,-72.45734405517578,139.67149353027344
4,Ed Sheeran  - Shape of You (Official Music Video)-JGwWNGJdvx8.mp3,pop,Ed Sheeran ,Shape of You ,129.19921875,129.19921875,1.764297604560852,47.49193572998047,2.459270477294922,67.45950317382812,-72.9752197265625,186.1420440673828,-71.53665161132812,204.85748291015625
5,Wiz Khalifa  - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack-RgKAFK5djSk.mp3,pop,Wiz Khalifa ,See You Again ft. Charlie Puth ,161.4990234375,161.4990234375,1.2257041931152344,38.07746124267578,1.7366924285888672,50.402862548828125,-75.8236312866211,109.6532974243164,-74.6888198852539,126.66340637207031
6,The Wanted  - Glad You.mp3,pop,The Wanted ,Glad You,129.19921875,129.19921875,0.5271683931350708,2.4646050930023193,1.0352535247802734,7.638967037200928,-73.75179290771484,145.36424255371094,-69.28905487060547,215.13330078125
7,Cheryl Cole  - Fight For This Love (Official Video)-4umc87T5UMs.mp3,pop,Cheryl Cole ,Fight For This Love ,123.046875,123.046875,0.4838640093803406,2.1208879947662354,0.6744217276573181,3.2167725563049316,-75.75151062011719,93.70882415771484,-73.3123779296875,138.28160095214844
